id,filename,split,y,a
0,0,0,1,1
1,1,0,0,0
2,2,0,1,0
3,3,0,1,0
4,4,0,1,0
5,5,0,0,1
6,6,0,1,0
7,7,0,1,1
8,8,0,0,0
9,9,0,1,1
10,10,0,1,1
11,11,0,1,1
12,12,0,0,1
13,13,0,1,1
14,14,0,1,0
15,15,0,1,1
16,16,0,0,0
17,17,0,1,0
18,18,0,1,0
19,19,0,1,0
20,20,0,1,1
21,21,0,1,1
22,22,0,0,1
23,23,0,1,0
24,24,0,0,0
25,25,0,1,0
26,26,0,1,1
27,27,0,0,1
28,28,0,1,0
29,29,0,0,1
30,30,0,1,1
31,31,0,1,1
32,32,0,1,1
33,33,0,1,1
34,34,0,1,1
35,35,0,0,1
36,36,0,0,0
37,37,0,0,0
38,38,0,1,1
39,39,0,1,1
40,40,0,1,1
41,41,0,1,0
42,42,0,1,0
43,43,0,1,0
44,44,0,0,1
45,45,0,0,0
46,46,0,0,1
47,47,0,1,1
48,48,0,1,0
49,49,0,1,1
50,50,0,1,0
51,51,0,0,0
52,52,0,0,1
53,53,0,1,0
54,54,0,1,1
55,55,0,1,0
56,56,0,1,1
57,57,0,0,1
58,58,0,0,1
59,59,0,1,1
60,60,0,1,0
61,61,0,1,0
62,62,0,1,1
63,63,0,1,1
64,64,0,0,1
65,65,0,1,0
66,66,0,1,0
67,67,0,1,0
68,68,0,0,1
69,69,0,1,1
70,70,0,1,0
71,71,0,1,0
72,72,0,1,1
73,73,0,1,1
74,74,0,1,1
75,75,0,1,0
76,76,0,1,1
77,77,0,1,0
78,78,0,0,0
79,79,0,1,0
80,80,0,0,0
81,81,0,1,1
82,82,0,0,0
83,83,0,1,1
84,84,0,0,1
85,85,0,0,1
86,86,0,1,1
87,87,0,1,0
88,88,0,0,0
89,89,0,1,1
90,90,0,1,0
91,91,0,1,0
92,92,0,0,0
93,93,0,1,0
94,94,0,1,0
95,95,0,0,1
96,96,0,1,0
97,97,0,0,1
98,98,0,0,1
99,99,0,1,1
100,100,0,1,1
101,101,0,0,1
102,102,0,1,0
103,103,0,0,1
104,104,0,1,1
105,105,0,0,1
106,106,0,1,0
107,107,0,1,0
108,108,0,0,1
109,109,0,0,1
110,110,0,0,1
111,111,0,0,1
112,112,0,1,1
113,113,0,1,1
114,114,0,0,1
115,115,0,1,0
116,116,0,0,0
117,117,0,0,1
118,118,0,0,1
119,119,0,1,0
120,120,0,1,1
121,121,0,1,0
122,122,0,1,1
123,123,0,1,1
124,124,0,1,0
125,125,0,0,1
126,126,0,1,1
127,127,0,0,1
128,128,0,0,0
129,129,0,0,0
130,130,0,0,0
131,131,0,1,1
132,132,0,0,1
133,133,0,1,1
134,134,0,1,1
135,135,0,1,0
136,136,0,1,1
137,137,0,1,0
138,138,0,1,1
139,139,0,1,0
140,140,0,1,0
141,141,0,1,0
142,142,0,1,1
143,143,0,1,1
144,144,0,1,0
145,145,0,1,0
146,146,0,1,1
147,147,0,0,0
148,148,0,1,0
149,149,0,1,0
150,150,0,1,0
151,151,0,1,1
152,152,0,0,0
153,153,0,1,0
154,154,0,1,0
155,155,0,1,0
156,156,0,1,0
157,157,0,1,0
158,158,0,1,1
159,159,0,1,1
160,160,0,1,0
161,161,0,1,0
162,162,0,1,1
163,163,0,1,0
164,164,0,1,0
165,165,0,0,1
166,166,0,1,0
167,167,0,1,0
168,168,0,1,0
169,169,0,1,0
170,170,0,0,0
171,171,0,1,1
172,172,0,0,0
173,173,0,0,0
174,174,0,1,0
175,175,0,1,0
176,176,0,0,0
177,177,0,0,0
178,178,0,1,0
179,179,0,1,1
180,180,0,1,1
181,181,0,1,1
182,182,0,1,0
183,183,0,1,0
184,184,0,0,1
185,185,0,1,1
186,186,0,1,1
187,187,0,1,1
188,188,0,1,0
189,189,0,1,1
190,190,0,1,1
191,191,0,1,1
192,192,0,1,1
193,193,0,1,0
194,194,0,1,0
195,195,0,0,1
196,196,0,1,1
197,197,0,1,0
198,198,0,1,1
199,199,0,0,0
200,200,0,1,1
201,201,0,1,0
202,202,0,0,0
203,203,0,1,1
204,204,0,0,0
205,205,0,1,1
206,206,0,1,0
207,207,0,1,1
208,208,0,0,1
209,209,0,0,0
210,210,0,0,1
211,211,0,0,1
212,212,0,0,1
213,213,0,0,0
214,214,0,1,1
215,215,0,1,0
216,216,0,0,1
217,217,0,1,0
218,218,0,1,0
219,219,0,1,0
220,220,0,1,0
221,221,0,1,1
222,222,0,1,0
223,223,0,0,0
224,224,0,1,0
225,225,0,1,1
226,226,0,1,0
227,227,0,0,1
228,228,0,0,1
229,229,0,1,0
230,230,0,1,1
231,231,0,0,0
232,232,0,1,0
233,233,0,1,0
234,234,0,1,0
235,235,0,1,0
236,236,0,1,0
237,237,0,1,0
238,238,0,1,0
239,239,0,0,0
240,240,0,1,1
241,241,0,1,0
242,242,0,1,0
243,243,0,0,0
244,244,0,1,0
245,245,0,1,0
246,246,0,1,0
247,247,0,1,0
248,248,0,1,0
249,249,0,1,0
250,250,0,1,0
251,251,0,1,0
252,252,0,1,0
253,253,0,1,1
254,254,0,1,0
255,255,0,1,0
256,256,0,0,1
257,257,0,1,0
258,258,0,1,1
259,259,0,1,1
260,260,0,0,0
261,261,0,0,0
262,262,0,1,0
263,263,0,0,1
264,264,0,1,0
265,265,0,0,0
266,266,0,1,0
267,267,0,1,1
268,268,0,0,1
269,269,0,1,0
270,270,0,1,0
271,271,0,1,1
272,272,0,1,0
273,273,0,1,1
274,274,0,1,0
275,275,0,1,0
276,276,0,0,1
277,277,0,1,0
278,278,0,0,1
279,279,0,0,0
280,280,0,1,1
281,281,0,1,1
282,282,0,1,0
283,283,0,1,1
284,284,0,0,0
285,285,0,0,0
286,286,0,1,0
287,287,0,1,0
288,288,0,0,0
289,289,0,1,1
290,290,0,1,0
291,291,0,1,1
292,292,0,1,0
293,293,0,1,1
294,294,0,1,0
295,295,0,1,1
296,296,0,1,1
297,297,0,0,0
298,298,0,0,1
299,299,0,0,1
300,300,0,0,0
301,301,0,0,1
302,302,0,1,0
303,303,0,1,1
304,304,0,1,1
305,305,0,1,0
306,306,0,1,0
307,307,0,1,1
308,308,0,1,0
309,309,0,0,1
310,310,0,1,0
311,311,0,1,0
312,312,0,0,1
313,313,0,1,1
314,314,0,1,1
315,315,0,0,1
316,316,0,1,1
317,317,0,1,1
318,318,0,1,1
319,319,0,1,0
320,320,0,1,1
321,321,0,1,1
322,322,0,1,1
323,323,0,1,1
324,324,0,1,1
325,325,0,1,0
326,326,0,1,1
327,327,0,1,0
328,328,0,1,0
329,329,0,1,0
330,330,0,1,1
331,331,0,0,0
332,332,0,1,0
333,333,0,0,0
334,334,0,1,1
335,335,0,1,0
336,336,0,1,0
337,337,0,0,1
338,338,0,1,0
339,339,0,1,1
340,340,0,1,1
341,341,0,1,0
342,342,0,1,1
343,343,0,1,1
344,344,0,1,0
345,345,0,0,0
346,346,0,1,1
347,347,0,1,0
348,348,0,1,0
349,349,0,1,1
350,350,0,0,1
351,351,0,0,1
352,352,0,0,0
353,353,0,0,1
354,354,0,0,0
355,355,0,1,0
356,356,0,1,0
357,357,0,0,1
358,358,0,1,1
359,359,0,0,0
360,360,0,1,0
361,361,0,1,1
362,362,0,1,1
363,363,0,1,1
364,364,0,1,0
365,365,0,1,0
366,366,0,0,0
367,367,0,0,1
368,368,0,1,0
369,369,0,1,0
370,370,0,1,0
371,371,0,1,0
372,372,0,1,1
373,373,0,1,1
374,374,0,1,1
375,375,0,1,0
376,376,0,0,1
377,377,0,0,1
378,378,0,1,0
379,379,0,0,0
380,380,0,1,0
381,381,0,1,1
382,382,0,0,0
383,383,0,1,0
384,384,0,1,0
385,385,0,1,1
386,386,0,0,1
387,387,0,1,0
388,388,0,1,0
389,389,0,1,0
390,390,0,0,0
391,391,0,1,1
392,392,0,0,0
393,393,0,0,1
394,394,0,0,0
395,395,0,1,0
396,396,0,0,1
397,397,0,1,1
398,398,0,1,1
399,399,0,0,1
400,400,0,1,0
401,401,0,1,0
402,402,0,1,0
403,403,0,1,0
404,404,0,1,1
405,405,0,1,0
406,406,0,1,0
407,407,0,1,1
408,408,0,1,1
409,409,0,0,1
410,410,0,1,0
411,411,0,1,1
412,412,0,1,1
413,413,0,1,1
414,414,0,0,1
415,415,0,1,0
416,416,0,1,1
417,417,0,0,0
418,418,0,1,1
419,419,0,0,1
420,420,0,0,1
421,421,0,1,0
422,422,0,1,0
423,423,0,1,1
424,424,0,1,0
425,425,0,0,1
426,426,0,0,1
427,427,0,1,0
428,428,0,1,0
429,429,0,0,0
430,430,0,1,0
431,431,0,1,1
432,432,0,1,0
433,433,0,1,1
434,434,0,1,0
435,435,0,1,0
436,436,0,1,1
437,437,0,1,1
438,438,0,0,0
439,439,0,0,1
440,440,0,1,1
441,441,0,1,0
442,442,0,1,1
443,443,0,1,1
444,444,0,0,1
445,445,0,1,0
446,446,0,1,0
447,447,0,1,1
448,448,0,1,0
449,449,0,1,0
450,450,0,0,1
451,451,0,1,0
452,452,0,0,1
453,453,0,0,0
454,454,0,1,0
455,455,0,0,0
456,456,0,1,0
457,457,0,1,1
458,458,0,1,1
459,459,0,0,1
460,460,0,1,0
461,461,0,1,0
462,462,0,1,0
463,463,0,1,0
464,464,0,1,0
465,465,0,0,0
466,466,0,1,0
467,467,0,1,0
468,468,0,1,0
469,469,0,1,0
470,470,0,1,0
471,471,0,0,0
472,472,0,1,0
473,473,0,1,0
474,474,0,0,1
475,475,0,1,1
476,476,0,1,1
477,477,0,0,1
478,478,0,1,1
479,479,0,1,1
480,480,0,0,1
481,481,0,0,0
482,482,0,0,1
483,483,0,1,1
484,484,0,1,1
485,485,0,0,1
486,486,0,1,1
487,487,0,1,1
488,488,0,1,1
489,489,0,1,1
490,490,0,1,0
491,491,0,1,0
492,492,0,0,1
493,493,0,1,1
494,494,0,1,1
495,495,0,1,1
496,496,0,1,1
497,497,0,1,0
498,498,0,1,1
499,499,0,0,0
500,500,0,0,0
501,501,0,1,1
502,502,0,1,0
503,503,0,0,1
504,504,0,1,1
505,505,0,1,0
506,506,0,0,1
507,507,0,1,0
508,508,0,1,1
509,509,0,1,1
510,510,0,1,1
511,511,0,0,1
512,512,0,1,0
513,513,0,0,0
514,514,0,1,0
515,515,0,1,1
516,516,0,1,0
517,517,0,1,1
518,518,0,1,0
519,519,0,1,1
520,520,0,1,1
521,521,0,1,1
522,522,0,0,0
523,523,0,1,0
524,524,0,1,0
525,525,0,0,1
526,526,0,0,1
527,527,0,1,0
528,528,0,1,0
529,529,0,1,0
530,530,0,1,0
531,531,0,1,1
532,532,0,1,1
533,533,0,1,0
534,534,0,1,1
535,535,0,1,0
536,536,0,1,0
537,537,0,0,0
538,538,0,1,1
539,539,0,0,1
540,540,0,1,1
541,541,0,1,0
542,542,0,0,0
543,543,0,1,1
544,544,0,0,0
545,545,0,1,0
546,546,0,0,0
547,547,0,1,1
548,548,0,1,0
549,549,0,1,0
550,550,0,1,0
551,551,0,1,0
552,552,0,1,0
553,553,0,1,0
554,554,0,1,0
555,555,0,1,0
556,556,0,0,0
557,557,0,0,0
558,558,0,0,1
559,559,0,1,0
560,560,0,0,0
561,561,0,1,0
562,562,0,0,1
563,563,0,1,0
564,564,0,1,1
565,565,0,0,1
566,566,0,1,1
567,567,0,0,1
568,568,0,1,0
569,569,0,1,0
570,570,0,0,1
571,571,0,1,1
572,572,0,1,0
573,573,0,1,1
574,574,0,1,1
575,575,0,0,1
576,576,0,1,1
577,577,0,0,1
578,578,0,1,1
579,579,0,1,1
580,580,0,1,0
581,581,0,1,1
582,582,0,0,1
583,583,0,0,0
584,584,0,0,0
585,585,0,1,1
586,586,0,1,1
587,587,0,1,0
588,588,0,0,0
589,589,0,0,1
590,590,0,1,0
591,591,0,1,1
592,592,0,1,0
593,593,0,0,0
594,594,0,0,1
595,595,0,1,1
596,596,0,0,0
597,597,0,1,1
598,598,0,1,1
599,599,0,1,0
600,600,0,0,0
601,601,0,1,0
602,602,0,1,0
603,603,0,0,1
604,604,0,1,0
605,605,0,0,1
606,606,0,0,1
607,607,0,1,0
608,608,0,1,1
609,609,0,1,1
610,610,0,0,0
611,611,0,0,0
612,612,0,0,0
613,613,0,1,0
614,614,0,0,1
615,615,0,0,0
616,616,0,1,0
617,617,0,1,0
618,618,0,1,0
619,619,0,1,1
620,620,0,1,0
621,621,0,1,0
622,622,0,1,0
623,623,0,1,0
624,624,0,1,1
625,625,0,1,1
626,626,0,1,1
627,627,0,0,0
628,628,0,0,0
629,629,0,1,0
630,630,0,1,0
631,631,0,0,0
632,632,0,1,1
633,633,0,0,0
634,634,0,1,1
635,635,0,0,1
636,636,0,1,0
637,637,0,0,0
638,638,0,1,1
639,639,0,1,1
640,640,0,1,0
641,641,0,1,0
642,642,0,0,1
643,643,0,0,0
644,644,0,1,0
645,645,0,1,0
646,646,0,1,1
647,647,0,1,1
648,648,0,1,1
649,649,0,1,1
650,650,0,0,1
651,651,0,1,1
652,652,0,1,0
653,653,0,1,0
654,654,0,0,0
655,655,0,1,1
656,656,0,1,1
657,657,0,0,1
658,658,0,0,0
659,659,0,1,0
660,660,0,1,1
661,661,0,1,1
662,662,0,1,1
663,663,0,1,1
664,664,0,1,0
665,665,0,1,0
666,666,0,1,1
667,667,0,1,1
668,668,0,1,1
669,669,0,1,1
670,670,0,1,0
671,671,0,0,1
672,672,0,0,1
673,673,0,1,0
674,674,0,0,0
675,675,0,1,0
676,676,0,1,1
677,677,0,1,1
678,678,0,0,0
679,679,0,1,0
680,680,0,1,0
681,681,0,1,1
682,682,0,0,1
683,683,0,1,1
684,684,0,0,1
685,685,0,1,0
686,686,0,1,1
687,687,0,1,1
688,688,0,1,1
689,689,0,1,1
690,690,0,1,1
691,691,0,1,0
692,692,0,0,1
693,693,0,1,0
694,694,0,1,0
695,695,0,0,1
696,696,0,1,0
697,697,0,1,1
698,698,0,1,1
699,699,0,1,0
700,700,0,1,0
701,701,0,0,0
702,702,0,1,0
703,703,0,1,1
704,704,0,1,1
705,705,0,0,1
706,706,0,1,1
707,707,0,0,0
708,708,0,0,0
709,709,0,1,0
710,710,0,1,1
711,711,0,1,1
712,712,0,1,1
713,713,0,1,1
714,714,0,1,0
715,715,0,0,1
716,716,0,0,0
717,717,0,1,1
718,718,0,1,0
719,719,0,1,1
720,720,0,0,1
721,721,0,1,0
722,722,0,1,0
723,723,0,1,0
724,724,0,0,1
725,725,0,1,1
726,726,0,1,0
727,727,0,1,0
728,728,0,1,0
729,729,0,1,0
730,730,0,0,0
731,731,0,1,0
732,732,0,1,1
733,733,0,0,1
734,734,0,0,0
735,735,0,1,0
736,736,0,1,1
737,737,0,1,1
738,738,0,0,1
739,739,0,1,0
740,740,0,0,0
741,741,0,1,0
742,742,0,1,1
743,743,0,1,1
744,744,0,1,0
745,745,0,0,1
746,746,0,0,1
747,747,0,0,1
748,748,0,1,1
749,749,0,1,1
750,750,0,1,0
751,751,0,1,0
752,752,0,1,1
753,753,0,1,1
754,754,0,1,1
755,755,0,1,1
756,756,0,1,0
757,757,0,1,0
758,758,0,1,1
759,759,0,0,0
760,760,0,0,1
761,761,0,1,1
762,762,0,1,1
763,763,0,1,1
764,764,0,1,0
765,765,0,1,1
766,766,0,1,0
767,767,0,1,0
768,768,0,0,0
769,769,0,1,1
770,770,0,1,1
771,771,0,0,1
772,772,0,1,0
773,773,0,1,0
774,774,0,1,0
775,775,0,1,0
776,776,0,1,0
777,777,0,1,0
778,778,0,1,1
779,779,0,0,1
780,780,0,1,0
781,781,0,1,0
782,782,0,1,1
783,783,0,1,0
784,784,0,1,0
785,785,0,1,1
786,786,0,1,1
787,787,0,1,0
788,788,0,1,0
789,789,0,0,0
790,790,0,1,0
